2007	Rutgers, The State University of New Jersey, New Brunswick	American Athletic Conference	Football	NJ	83	63		
2007	Sacred Heart University	Northeast Conference	Football	CT	55	39		
2007	Saint Francis University (Pennsylvania)	Northeast Conference	Football	PA	67	59		
2007	Sam Houston State University	Southland Conference	Football	TX	56	52		
2007	Samford University	Southern Conference	Football	AL	98	63		
2007	San Diego State University	Mountain West Conference	Football	CA	71	69		
2007	University of San Diego	Pioneer Football League	Football	CA	88			
2007	San Jose State University	Mountain West Conference	Football	CA	56	58		
2007	Savannah State University	Mid-Eastern Athletic Conf.	Football	GA	37	26		
2007	South Carolina State University	Mid-Eastern Athletic Conf.	Football	SC	52	43		
2007	University of South Carolina, Columbia	Southeastern Conference	Football	SC	76	51		
2007	South Dakota State University	Missouri Valley Football Conference	Football	SD	75	68		
2007	University of South Dakota	Missouri Valley Football Conference	Football	SD	62	54		
2007	University of South Florida	American Athletic Conference	Football	FL	69	45		
2007	Southeast Missouri State University	Ohio Valley Conference	Football	MO	68	41		
2007	Southeastern Louisiana University	Southland Conference	Football	LA	58	40		
2007	University of Southern California	Pac-12 Conference	Football	CA	58	47		
2007	Southern Illinois University at Carbondale	Missouri Valley Football Conference	Football	IL	73	69		
2007	Southern Methodist University	American Athletic Conference	Football	TX	73	64		
2007	The University of Southern Mississippi	Conference USA	Football	MS	67	53		
2007	Southern University, Baton Rouge	Southwestern Athletic Conf.	Football	LA	61	56		
2007	Southern Utah University	Big Sky Conference	Football	UT	46	29		
2007	Missouri State University	Missouri Valley Football Conference	Football	MO	67	63		
2007	Texas State University	Sun Belt Conference	Football	TX	64	47		
2007	University of Louisiana at Lafayette	Sun Belt Conference	Football	LA	69	65		
2007	Stanford University	Pac-12 Conference	Football	CA	99	93		
2007	Stephen F. Austin State University	Southland Conference	Football	TX	38	35		
2007	Stony Brook University	Colonial Athletic Association	Football	NY	77	61		
2007	Syracuse University	Atlantic Coast Conference	Football	NY	78	61		
2007	Temple University	American Athletic Conference	Football	PA	80	61		
2007	Tennessee State University	Ohio Valley Conference	Football	TN	43	40		
2007	Tennessee Technological University	Ohio Valley Conference	Football	TN	69	58		
2007	University of Tennessee at Chattanooga	Southern Conference	Football	TN	54	39		
2007	University of Tennessee, Knoxville	Southeastern Conference	Football	TN	62	54		
2007	University of Tennessee at Martin	Ohio Valley Conference	Football	TN	60	40		
2007	Texas A&M University, College Station	Southeastern Conference	Football	TX	74	65		
2007	Texas Christian University	Big 12 Conference	Football	TX	83	77		
2007	Texas Southern University	Southwestern Athletic Conf.	Football	TX	44	44		
2007	Texas Tech University	Big 12 Conference	Football	TX	71	57		
2007	University of Texas at Austin	Big 12 Conference	Football	TX	61	56		
2007	University of Texas at El Paso	Conference USA	Football	TX	65	63		
2007	University of Texas at San Antonio	Conference USA	Football	TX	100			
2007	University of Toledo	Mid-American Conference	Football	OH	70	61		
2007	Towson University	Colonial Athletic Association	Football	MD	71	66		
2007	Troy University	Sun Belt Conference	Football	AL	55	46		
2007	Tulane University	Conference USA	Football	LA	85	68		
2007	The University of Tulsa	Conference USA	Football	OK	72	55		
2007	U.S. Air Force Academy	Mountain West Conference	Football	CO	93			
2007	U.S. Military Academy	Independent	Football	NY	88			
2007	U.S. Naval Academy	Independent	Football	MD	80			
2007	Utah State University	Mountain West Conference	Football	UT	86	66		
2007	University of Utah	Pac-12 Conference	Football	UT	66	54		
2007	Valparaiso University	Pioneer Football League	Football	IN	88			
2007	Vanderbilt University	Southeastern Conference	Football	TN	79	71		
2007	Villanova University	Colonial Athletic Association	Football	PA	90	86		
2007	Virginia Military Institute	Big South Conference	Football	VA	71	57		
2007	Virginia Polytechnic Institute and State University	Atlantic Coast Conference	Football	VA	74	59		
2007	University of Virginia	Atlantic Coast Conference	Football	VA	75	72		
2007	Wagner College	Northeast Conference	Football	NY	92	77		
2007	Wake Forest University	Atlantic Coast Conference	Football	NC	90	83		
2007	Washington State University	Pac-12 Conference	Football	WA	61	54		
2007	University of Washington	Pac-12 Conference	Football	WA	70	61		
2007	Weber State University	Big Sky Conference	Football	UT	50	41		
2007	West Virginia University	Big 12 Conference	Football	WV	74	63		
2007	Western Carolina University	Southern Conference	Football	NC	61	42		
2007	Western Illinois University	Missouri Valley Football Conference	Football	IL	67	63		
2007	Western Kentucky University	Sun Belt Conference	Football	KY	73	62		
2007	Western Michigan University	Mid-American Conference	Football	MI	68	57		
2007	William & Mary	Colonial Athletic Association	Football	VA	76	74		
2007	University of Wisconsin-Madison	Big Ten Conference	Football	WI	69	56		
2007	University of Wyoming	Mountain West Conference	Football	WY	69	57		
2007	Yale University	The Ivy League	Football	CT	97			
2007	Youngstown State University	Missouri Valley Football Conference	Football	OH	56	49		
2007	University of Central Arkansas	Southland Conference	Football	AR	62	43		
2007	Elon University	Southern Conference	Football	NC	86	74		
2007	Gardner-Webb University	Big South Conference	Football	NC	81	69		
2007	Presbyterian College	Big South Conference	Football	SC	84	70		
2007	University of Arkansas, Pine Bluff	Southwestern Athletic Conf.	Football	AR	59	45		
2007	University of the Incarnate Word	Southland Conference	Football	TX	88			
2007	Wofford College	Southern Conference	Football	SC	91	77
